date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:40:58	37921/37921	---MC-	200	added ('OK')	text/html	date:Mon,%2013%20Oct%202025%2014:40:56%20GMT	https://copytradingbroker.io/	/home/taliban/websites/tedbroker.com/copytradingbroker.io/index.html	(from )
07:40:59	5102/5102	---M--	200	added ('OK')	image/png	date:Fri,%2020%20Jun%202025%2009:53:32%20GMT	https://copytradingbroker.io/assets/images/logoIcon/favicon.png	/home/taliban/websites/tedbroker.com/copytradingbroker.io/assets/images/logoIcon/favicon.png	(from https://copytradingbroker.io/)
07:41:02	58964/58964	---M--	200	added ('OK')	text/css	date:Mon,%2022%20May%202023%2008:35:42%20GMT	https://copytradingbroker.io/assets/templates/copytradingbroker/frontend/css/plugins.css	/home/taliban/websites/tedbroker.com/copytradingbroker.io/assets/templates/copytradingbroker/frontend/css/plugins.css	(from https://copytradingbroker.io/)
07:41:05	938/938	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2013%20Oct%202025%2014:41:04%20GMT	https://copytradingbroker.io/assets/wa/plugin/czm-chat-support.css	/home/taliban/websites/tedbroker.com/copytradingbroker.io/assets/wa/plugin/czm-chat-support.3.delayed	(from https://copytradingbroker.io/)
07:41:06	0/0	---M--	301	error ('Moved%20Permanently')	application/binary	date:Mon,%2013%20Oct%202025%2014:41:07%20GMT	http://translate.google.com/translate_a/element.js?cb=googleTranslateElementInit	/home/taliban/websites/tedbroker.com/translate.google.com/translate_a/element.4a0d8.delayed	(from https://copytradingbroker.io/)
07:41:10	76585/76585	---MC-	200	added ('OK')	text/javascript	date:Mon,%2013%20Oct%202025%2014:41:09%20GMT	https://translate.google.com/translate_a/element.js?cb=googleTranslateElementInit	/home/taliban/websites/tedbroker.com/translate.google.com/translate_a/elementa0d8.js	(from https://copytradingbroker.io/)
07:41:11	607/607	---MC-	200	added ('OK')	text/css	date:Mon,%2013%20Oct%202025%2014:41:10%20GMT	https://copytradingbroker.io/assets/templates/copytradingbroker/color.php?color=&secondary_color=	/home/taliban/websites/tedbroker.com/copytradingbroker.io/assets/templates/copytradingbroker/color2c1f.css	(from https://copytradingbroker.io/)
07:41:13	938/938	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2013%20Oct%202025%2014:41:12%20GMT	https://copytradingbroker.io/index.html	/home/taliban/websites/tedbroker.com/copytradingbroker.io/index.7.delayed	(from https://copytradingbroker.io/)
07:41:15	24500/24500	---M--	200	added ('OK')	image/png	date:Fri,%2020%20Jun%202025%2009:57:20%20GMT	https://copytradingbroker.io/assets/images/logoIcon/logo.png	/home/taliban/websites/tedbroker.com/copytradingbroker.io/assets/images/logoIcon/logo.png	(from https://copytradingbroker.io/)
07:41:21	17821/17821	---MC-	200	added ('OK')	text/html	date:Mon,%2013%20Oct%202025%2014:41:19%20GMT	https://copytradingbroker.io/about-us	/home/taliban/websites/tedbroker.com/copytradingbroker.io/about-us.html	(from https://copytradingbroker.io/)
